date,RECESSION,CPI,FEDFUNDS,INDPRO,PAYEMS,SP500,UNEMPLOY,YC
1/1/1976,n,0.005479466,-0.02,0.012368218,0.004264563,-0.011574797,-0.05,2.93
2/1/1976,n,0.00725956,-0.33,0.014380939,0.006210089,0.111814848,-0.21,3
3/1/1976,n,0.005410293,-0.1,0.009981939,0.003979181,-0.011467464,-0.208,2.82
4/1/1976,n,0.003590668,0.07,0.000895005,0.002939241,0.03022749,-0.096,2.85
5/1/1976,n,0.001790511,-0.02,0.005615737,0.003081978,-0.011056304,0.1,2.67
6/1/1976,n,0.001787311,0.47,0.004655072,0.0002522,-0.014468581,-0.277,2.38
7/1/1976,n,0.001784122,0.19,0.000196996,0.000806614,0.040111012,0.269,2.55
8/1/1976,n,0.005333346,-0.17,0.005968915,0.002151986,-0.008087826,0.168,2.37
9/1/1976,n,0.005305052,-0.02,0.007019865,0.001971731,-0.005136895,0.028,2.3
10/1/1976,n,0.005277057,-0.04,0.002822963,0.00235595,0.022388578,-0.138,2.4
11/1/1976,n,0.005249356,-0.23,0.000383343,0.000237793,-0.022485775,0.05,2.06
12/1/1976,n,0.005221944,-0.07,0.014637334,0.004108628,-0.007804957,0.19,2.16
1/1/1977,n,0.005194817,-0.3,0.010409644,0.002588869,0.05116597,-0.075,2.79
2/1/1977,n,0.003448279,-0.04,-0.005490202,0.003003639,-0.051851798,-0.265,2.77
3/1/1977,n,0.005150226,0.07,0.015134448,0.003686344,-0.021898314,0.163,2.73
4/1/1977,n,0.005123837,0.01,0.01231924,0.004963706,-0.014124549,-0.136,2.72
5/1/1977,n,0.010169579,0.04,0.009363682,0.004131959,0.000203231,-0.248,2.03
6/1/1977,n,0.005046268,0.62,0.008307682,0.004395182,-0.023849804,-0.148,1.81
7/1/1977,n,0.006688988,0.04,0.007194034,0.004860986,0.04436129,0.223,2
8/1/1977,n,0.00332779,0.03,0.001401451,0.004185777,-0.016355203,-0.305,1.38
9/1/1977,n,0.004971013,0.48,0.000281269,0.002905209,-0.021266531,0.096,1.27
10/1/1977,n,0.004946424,0.24,0.004803733,0.005485978,-0.002483167,-0.174,1.15
11/1/1977,n,0.004922077,0.33,0.00191706,0.003203216,-0.044376457,0.012,1.04
12/1/1977,n,0.003267977,0.04,0.001054525,0.004441197,0.026608462,0.052,1.22
1/1/1978,n,0.004882028,0.05,0.001668897,0.002811673,0.002843113,-0.429,1.24
2/1/1978,n,0.006472515,0.14,-0.013891032,0.002177464,-0.063487528,0.103,1.26
3/1/1978,n,0.004827041,0.08,0.004938342,0.004175962,-0.025073626,-0.171,1.36
4/1/1978,n,0.006400022,0.01,0.018882205,0.006009126,0.024625335,0.019,1.35
5/1/1978,n,0.004773279,0.1,0.020505562,0.008180815,0.081963755,-0.157,1.06
6/1/1978,n,0.006329135,0.47,0.003702544,0.00401921,0.004225245,-0.053,1.02
7/1/1978,n,0.0078555,0.24,0.0068661,0.005084786,-0.017741805,-0.099,0.75
8/1/1978,n,0.009345862,0.21,-0.000463718,0.002916961,0.052506846,0.281,0.35
9/1/1978,n,0.007722046,0.23,0.003747837,0.003194287,0.025593405,-0.229,0.11
10/1/1978,n,0.007662873,0.41,0.002522016,0.001576206,-0.0072876,0.045,0
11/1/1978,n,0.006088299,0.51,0.007989268,0.003815994,-0.096041858,-0.178,-0.9
12/1/1978,n,0.009063506,0.8,0.007547519,0.004933465,0.01650285,0.13,-0.88
1/1/1979,n,0.008982096,0.27,0.005331803,0.003162737,0.014779411,0.151,-1.12
2/1/1979,n,0.005943554,0.04,-0.006450975,0.001543845,0.038976562,-0.119,-0.89
3/1/1979,n,0.005908437,-0.01,0.005358384,0.00277742,-0.037209338,0.064,-0.98
4/1/1979,n,0.008797711,0.03,0.003126535,0.004749804,0.053684463,-0.064,-0.66
5/1/1979,n,0.010167117,-0.08,-0.011345056,-0.00069314,0.001672054,-0.04,-1.18
6/1/1979,n,0.010064787,0.23,0.008000984,0.004151653,-0.026689494,-0.229,-1.48
7/1/1979,n,0.009964495,0.05,-5.63E-05,0.003546478,0.037927234,0.119,-1.46
8/1/1979,n,0.011267725,0.18,-0.001358872,0.001208928,0.008707427,0.037,-1.7
9/1/1979,n,0.011142177,0.47,-0.006659581,0.000919581,0.051717075,0.324,-1.99
10/1/1979,n,0.011019395,0.49,0.001109237,0.000298959,0,-0.13,-3.05
11/1/1979,n,0.009543358,2.34,0.005469579,0.001703465,-0.071072813,0.106,-2.8
12/1/1979,n,0.009453143,-0.59,-0.000886961,0.001016271,0.041740879,-0.058,-3.45
1/1/1980,n,0.010695289,0.6,0.001286964,0.001092444,0.016628108,0.087,-2.69
2/1/1980,y,0.010582109,0.04,0.004559597,0.001410686,0.056025472,0.358,-1.41
3/1/1980,y,0.011772536,0.31,2.99E-05,0.000913679,-0.004389437,0.019,-4.55
4/1/1980,y,0.01420295,3.06,-0.003292941,0.001220605,-0.107356833,0.027,-6.85
5/1/1980,y,0.012739026,0.42,-0.020761808,-0.001594783,0.040316479,0.629,-0.73
6/1/1980,y,0.013828002,-6.63,-0.024610389,-0.004733306,0.045518794,0.626,0.62
7/1/1980,y,0.00993797,-1.51,-0.01241889,-0.003534219,0.02661147,0.114,1.73
